# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = logistic_model
# start_datetime = 2025-05-10 18:46:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = data.json
# init = 0
# random
#   seed = 17271
# output
#   file = /home/daniel-hartman/Documents/OPEN_projects/Bayes_LC50/runfiles/logistic-20250510144606.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=logistic.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,beta.1,beta.2,beta.3,beta.4
# Adaptation terminated
# Step size = 0.380237
# Diagonal elements of inverse mass matrix:
# 0.000252283, 0.412938, 1.27493e-05, 1.37146e-05, 1.33848e-05, 4.1085e-05
-1045.39,0.942884,0.380237,3,7,0,1047.95,0.0371195,0.0324158,0.00528552,0.0222433,0.0251722,0.0421229
-1043.78,0.944025,0.380237,3,15,0,1046.41,0.0244524,0.00981233,0.0037093,0.0258903,0.0209039,0.0276556
-1052.19,0.730729,0.380237,2,3,0,1053.2,0.0124007,0.00761668,0.00926868,0.0192791,0.0234628,0.0211135
-1042.66,1,0.380237,2,3,0,1051.85,0.021112,0.00916352,0.00372151,0.0224036,0.0227833,0.0281348
-1044.57,0.812274,0.380237,2,3,0,1045.48,0.0234271,0.00980474,0.00832946,0.0275183,0.0239707,0.0332543
-1043.4,0.969055,0.380237,2,3,0,1046.11,0.0240955,0.00732001,0.00588127,0.0259402,0.0213728,0.0341371
-1043.04,0.938074,0.380237,3,7,0,1045.19,0.0258776,0.0238155,0.00517297,0.0230576,0.0247641,0.0309935
-1042.4,0.9762,0.380237,3,7,0,1044.23,0.0288986,0.0232341,0.00502711,0.0237645,0.0228764,0.0338385
-1042.88,0.906829,0.380237,2,7,0,1043.98,0.0229618,0.0142093,0.00356895,0.0265208,0.0241704,0.0358927
-1042.02,0.957769,0.380237,3,7,0,1043.74,0.0223262,0.0136466,0.00638121,0.0231357,0.0219534,0.0342167
-1041.8,0.997786,0.380237,3,7,0,1042.76,0.0158278,0.0136938,0.00501189,0.0237526,0.0235754,0.029116
-1048.02,0.592398,0.380237,2,3,0,1048.48,0.0188037,0.0245013,0.00487828,0.0193591,0.0259036,0.0276238
-1043.33,1,0.380237,2,3,0,1049.04,0.0263557,0.0126044,0.00549439,0.0268808,0.0213145,0.0287699
-1046.8,0.801802,0.380237,3,7,0,1048.11,0.0135595,0.0183363,0.00422312,0.0205226,0.0251422,0.0440043
-1047.77,0.924788,0.380237,3,7,0,1050.32,0.0322786,0.0173342,0.00314447,0.0287598,0.0196521,0.0338815
-1046.85,0.992402,0.380237,3,7,0,1049.4,0.0155725,0.00949423,0.00734117,0.02194,0.0262798,0.0384543
-1042.25,1,0.380237,2,3,0,1046.71,0.0301522,0.0142254,0.00614716,0.0241833,0.0234709,0.0319817
-1041.63,0.934398,0.380237,2,3,0,1042.47,0.0180652,0.0103395,0.00560246,0.0234295,0.0237785,0.0329491
-1042.84,0.888627,0.380237,2,7,0,1043.66,0.0172899,0.0159738,0.00368814,0.0246474,0.0252408,0.0302732
-1043.44,0.981347,0.380237,3,7,0,1045.15,0.0278143,0.0142736,0.00545331,0.0232912,0.0250568,0.041743
-1044.15,0.850373,0.380237,3,7,0,1045.44,0.00994425,0.0260185,0.00551235,0.0250579,0.0211357,0.0398936
