exposure date,generation,strain,replicate,Dose,60min,24hr,48hr,hr72,total
,F8,Siaya,neg control 1,0,0,0,0,0,25
,F8,Siaya,neg control 2,0,0,2,2,2,25
,F8,Siaya,neg control 3,0,0,0,1,1,25
,F8,Siaya,20-1,20,0,0,0,0,25
,F8,Siaya,20-2,20,0,0,2,2,25
,F8,Siaya,20-3,20,0,0,1,1,25
,F8,Siaya,20-4,20,0,0,1,0,25
,F8,Siaya,20-5,20,3,5,9,9,25
,F8,Siaya,20-6,20,0,21,22,22,25
,F8,Siaya,20-7,20,0,2,4,3,25
,F8,Siaya,20-8,20,0,3,4,5,25
,F8,Siaya,20-9,20,0,2,4,5,25
,F8,Siaya,40-1,40,0,0,1,0,25
,F8,Siaya,40-2,40,0,1,4,5,25
,F8,Siaya,40-3,40,0,1,3,4,25
,F8,Siaya,60-1,60,0,13,18,20,25
,F8,Siaya,60-2,60,0,1,9,12,25
,F8,Siaya,60-3,60,0,2,4,8,25
,F8,Siaya,80-1,80,0,16,17,17,25
,F8,Siaya,80-2,80,0,18,21,21,25
,F8,Siaya,80-3,80,0,12,21,19,25
,F8,Siaya,100-1,100,0,20,22,22,25
,F8,Siaya,100-2,100,0,18,20,20,25
,F8,Siaya,100-3,100,1,23,23,24,25
